Name,Class,Spells,Skills
9847a309,Sorcerer 14,Posion Spray*0|Firebolt*0|Prestidigitation*0|Barkskin*0|Levitate*2|Ice storm*4,Arcana|History|Insight|Persuasion
eaf3f6cb,Paladin 14,Truestrike*0|Eldritch Blast*0|Ensnaring Strike*1|Speak with Animals*1|Comprehend Languages*1|Moonbeam*2|Misty Step*2|Plant Growth*3|Protection from Energy*3|Ice Storm*4|Stoneskin*4,Athletics|Religion|Insight|Intimidation|Performance
0b4f5fa9,Rogue 14,"Green-Flame Blade

*0",Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception
c7be80e1,Rogue 14,No spells,Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception|Persuasion
423b4031,Mystic 14,Green Flame Blade 2d8*0,Arcana|Insight|Medicine|Perception|Persuasion
650af90d,Fighter 14,No spells,Athletics|Perception|Survival|Intimidation|Persuasion
fac96884,Barbarian 14,No spells,History|Insight|Perception|Survival|Intimidation
68b2d598,Fighter 14,True Strike*0|Shape Water*0|Prestidigitation*0|Shield*1|Thunderwave*1|Identify*1|Comprehend Languages*1|Dragon's Breath (Lightning) *2|Misty Step*2|See Invisibility*2|Haste*3|Fireball*3|Counterspell*3,Acrobatics|Arcana|History|Nature|Religion|Insight|Survival|Persuasion
c084085a,Wizard 14,No spells,Athletics|Arcana|History|Medicine|Survival
f1f6ff43,Fighter 13,Prestidigitation*0|Mage Hand*0|Blade Ward*0|Light*0|Alarm*1|Burning Hands*1|Unseen Servant*1|Chromatic Orb*1|Magic Missile*1|Identify*1|Detect Magic*1|Absorb Elements*1|Armor of Agathys*1|Shatter*2|Misty Step*2|Enlarge/Reduce*2|Catnap*3,History|Insight|Perception|Persuasion
b1f875c4,Artificer 13,Mending*0|Guidance*0|Mage Hand*0|Any*0|Heroism*1|Shield*1|Absorb Elements*1|Alarm*1|Catapult*1|Cure Wounds*1|Detect Magic*1|Disguise Self*1|Expeditious Retreat*1|Faerie Fire*1|False Life*1|Feather Fall*1|Grease*1|Indentify*1|Jump*1|Longstrider*1|Purify Food And Drink*1|Sanctuary*1|Snare*1|Tasha's Caustic Brew*1|Branding Smite*2|Warding Bond*2|Aid*2|Alter Self*2|Arcane Lock*2|Blur*2|Continual Flame*2|Darkvision*2|Enhance Ability*2|Enlarge/reduce*2|Heat Metal*2|Invisibility*2|Lesser Restoration*2|Levitate*2|Magic Mouth*2|Magic Weapon*2|Protection From Poison*2|Pyrotechnics*2|Rope Trick*2|See Invisibility*2|Skywrite*2|Spider Climb*2|Web*2|Kinetic Jaunt*2|Aura of Vitality*3|Conjure Barrage*3|Blink*3|Catnap*3|Create Food And Water*3|Dispel Magic*3|Elemental Weapon*3|Flame Arrows*3|Fly*3|Glyph Of Warding*3|Haste*3|Intellect Fortress*3|Protection From Energy*3|Revivify*3|Tiny Servant*3|Water Breathing*3|Water Walk*3|Ashardalon's Stride*3|Aura of Purity*4|Fire Shield*4|Arcane Eye*4|Elemental Bane*4|Fabricate*4|Freedom Of Movement*4|Leomund's Secret Chest*4|Mordenkainen's Faithful Hound*4|Mordenkainen's Private Sanctum*4|Otiluke's Resilient Sphere*4|Stone Shape*4|Stoneskin*4|Summon Construct*4,Stealth|Arcana|History|Investigation|Persuasion
1f8d74da,Barbarian 13,No spells,Athletics|Religion|Insight
0d4844b9,Paladin 13,Bane*1|Hunter’s Mark*1|Cure Wounds*1|Thunder Smite*1|Command *1|Detect Evil*1|Misty Step*2|Find Steed*2|Hold Person *2|Haste*3|Protection from Energy*3|Blinding Smite*3|Banishment*4|Dimension Door*4,History|Religion|Intimidation|Persuasion
9bfd52fb,Barbarian 13,No spells,Athletics|Nature|Animal Handling|Perception|Survival|Intimidation
f7e65751,Druid 13,Produce Flame*0|Shape Water*0|Mending*0|Guidance*0|Druidcraft*0|Absorb Elements*1|Entangle*1|Create / Destroy Water*1|Speak With Animals -R*1|Good Berry*1|Healing Word*1|Spider Climb*2|Spike Growth*2|Flaming Sphere*2|Pass Without Trace*2|Beast Sense -R*2|Moonbeam*2|Lightning Bolt*3|Meld into Stone -R*3|Dispell Magic*3|Call Lightning*3|Water Breathing -R*3|Stone Shape*4|Stoneskin*4|Polymorph*4|Freedom Of Movement*4|Wall Of Fire*4|Passwall*5|Wall of Stone*5|Reincarnate*5|Awaken*5|Greater Restoration*5|Heal*6|Sunbeam*6|Regenerate*7,Athletics|Arcana|Insight|Medicine|Survival
7b514904,Ranger 13,Speak with Animals*1|Disguise Self*1|Beast Sense*2|Rope Trick*2|Speak with Plants*3|Fear*3|Locate Creature*4|Greater Invisibility*4,Athletics|Stealth|Investigation|Nature|Insight|Perception|Survival
191da5b9,Warlock 13,No spells,Stealth|Deception
7c743c99,Barbarian 13,Thaumaturgy*0|Mending*0|Sacred Flame*0|Burning Hands*1|Cure Wounds*1|Darkness*2,Athletics|Sleight of Hand|Stealth|Intimidation
37c9aa6f,Artificer 13,Mending*0|Heroism*1|Shield*1|Branding Smite*2|Warding Bond*2|Aura of Vitality*3|Conjure Barrage*3|Aura of Purity*4|Fire Shield*4,Arcana|History|Investigation|Perception
84118162,Warlock 13,No spells,Stealth|Arcana|History|Deception
755e6dda,Artificer 13,Healing Word*1|Ray of Sickness*1|Flaming Sphere*2|Acid Arrow*2|Gaseous Form*3|Mass Healing Word*3|Blight*4|Death Ward*4,Sleight of Hand|Stealth|Arcana|Investigation|Insight|Perception
e8d0bf1f,Druid 13,No spells,Athletics|Arcana|Perception|Survival
7b7f77f3,Wizard 13,Polymorph*4,Arcana|History|Religion|Insight|Perception
96b030c8,Bard 13,No spells,Acrobatics|Stealth|History|Investigation|Insight|Performance
08c86a4c,Druid 13,Druidcraft*0|Guidance*0|Mending*0|Poison Spray*0|Produce Flame*0|Resistance*0|Shilelagh*0|Thorn Whip*0|Animal Friendship*1|Charm Person*1|Create Or Destroy Water*1|Cure Wounds*1|Detect Magic*1|Detect Poison And Disease*1|Entangle*1|Faerie Fire*1|Fog Cloud*1|Goodberry*1|healing Word*1|Jump*1|Longstrider*1|Purify Food And Drink*1|Speak With Animals*1|Thunderwave*1|Animal Messenger*2|Barkskin*2|Beast Sense*2|Darkvision*2|Enhance Ability*2|Find Traps*2|Flame Blade*2|Flaming Sphere*2|Gust Of Wind*2|Heat Metal*2|Hold Person*2|Lesser Restoration*2|Locate Animals Or Plants*2|Locate Object*2|Moonbeam*2|Pass without Trace*2|Protection From Poison*2|Spike growth*2|Call Lightning*3|Conjure Animals*3|Daylight*3|Dispel Magic*3|Feign Death*3|Meld Into Stone*3|Plant Growth*3|Protection From Energy*3|Sleet Storm*3|Speak With Plants*3|Water Walk*3|Wind Walk*3|blight*4|Confusion*4|Conjure Minor elementals*4|Conjure Woodland Beings*4|Control Water*4|Dominate beast*4|Freedom Of Movement*4|Giant insect*4|Grasping Vine*4|Hallucinatory terrain*4|Ice Storm*4|Locate Creature*4|Polymorph*4|Stone Shape*4|Stoneskin*4|Wall Of 🔥*4|Anti life Shell*5|Awaken*5|Commune With Nature*5|Conjure Elemental*5|Contagion*5|Geas*5|Greater Restoration*5|Insect Plague*5|Mass Cure Wounds*5|Planar Binding*5|Reincarnate*5|Scrying*5|Tree Stride*5|Wall Of Stone*5|Conjure Fey*6|Find The Path*6|Heal*6|Heroes Feast*6|Move Earth*6|Sunbeam*6|Transport Via Plants*6|Wall Of Thorns*6|Wind Walk*6|Fire Storm*7|Mirage Arcane*7|Plane Shift*7|Regenerate*7|Reverse Gravity*7,Nature|Religion|Animal Handling|Insight
0fd3990d,Monk 13,No spells,Acrobatics|Stealth|Religion|Insight|Perception
8ca9c971,Monk 13,No spells,Athletics|Acrobatics|Stealth|Animal Handling|Insight|Perception
73b78643,Druid 13,No spells,History|Investigation|Nature|Perception|Survival|Intimidation
f0e66775,Rogue 13,No spells,Acrobatics|Stealth|Perception|Deception|Performance|Persuasion
a5813c0c,Fighter 13,No spells,Stealth|Survival|Deception|Intimidation
82724b65,Blood-Hunter 13,Booming Blade*0|Green-Flame Blade*0|Hellish Rebuke*1|Hex*1|Comprehend Languages*1|Protection from Evil and Good*1|Lesser Restoration*2|Shadow Blade*2|Counterspell*3|Thunder Step*3,Athletics|Acrobatics|Stealth|Arcana|History|Investigation|Animal Handling|Survival|Persuasion
bf98c86e,Druid 13,Poison Spray*0|Thorn Whip*0|Mending*0|Produce Flame*0|Purify Food And Water*1|Cure Wounds*1|Jump*1|Speak With Animals*1|Find Trap*2|Flaming Spear*2|Moon Beam*2|Call Lightning*3|Erupting Earth*3|Dispell Magic*3|Polymorph*4|Conjure Minor Elemental*4|Mass Cure Wounds*5|Wall Of Stone*5|Wall Of Thorns*6|Planeshift*7,Arcana|History|Perception|Intimidation|Persuasion
678718ab,Sorcerer 13,Conjure Elemental*5|Wall Of Force*5|Chain Lightning*6|Whirlwind*7,Arcana|History|Perception|Intimidation|Persuasion
80b56da0,Barbarian 13,No spells,Athletics|Stealth|Insight|Perception|Persuasion
ed810309,Rogue 13,No spells,Athletics|Sleight of Hand|Stealth|Perception|Deception|Persuasion
266ebc3d,Paladin 13,Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3|Freedom of Movement*4|Guardian of Faith*4,Athletics|Animal Handling|Perception|Survival
c886c35b,Rogue 13,No spells,Athletics|Stealth|Investigation|Insight|Perception|Deception|Persuasion
339ea362,Druid 13,Mending*0|Produce Flame*0|Shillelagh*0|Resistance *0,Arcana|Religion|Medicine|Perception|Survival
db82806a,Paladin 13,Armor of Frost*1|Command*1|Hold Person*2|Spiritual Weapon*2|Bestow Curse*3|Fear*3|Dominate Beast*4|Stoneskin*4,Athletics|Sleight of Hand|Intimidation|Performance|Persuasion
62b4cf7f,Bard 13,No spells,Acrobatics|Sleight of Hand|Investigation|Perception|Performance
c0a79d96,Revised-Ranger 13,Protection From Evil and Good*1|Cure Wounds*1|Absorb Elements *1|Good Berry*1|Hail of Throns *1|Hunters Mark*1|Zephyr strike*1|Zone of Truth*2|Healing Spirit*2|Magic Circle*3|Lighting Arrow*3|Flame Arrow *3|Banishment*4|Conjure Woodland Creature*4,Athletics|Stealth|Investigation|Nature|Insight|Perception|Survival
f82ffd3c,Fighter 13,No spells,Athletics|Religion|Animal Handling|Survival|Intimidation|Persuasion
abb89c0d,Cleric 13,Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4|Mass Cure Wounds*5|Raise Dead*5,History|Religion|Insight|Medicine
0a95a948,Cleric 13,Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4|Mass Cure Wounds*5|Raise Dead*5,History|Religion|Insight|Medicine
5ee7b828,Cleric 13,Spare The Dying*0|Sacred Flame*0|Word Of Radiance *0|Toll The Dead*0|Resistance*0|Light*0|Fog Cloud*1|Thunderwave*1|Inflict Wound *1|Cure Wounds*1|Sanctuary *1|Guiding Bolt*1|Bless*1|Healing Word*1|Gust of Wind*2|Shatter*2|Spiritual Weapon*2|Hold Person*2|Call Lightning*3|Sleet Storm*3|Spirit Gaurdians*3|Life Transference *3|Revivify*3|Control Water*4|Ice Storm*4|Guardian Of Faith*4|Freedom Of Movement*4|Destructive Wave*5|Insect Plague*5|Flame Strike*5|Greater Restoration*5|Heal*6|Fire Storm*7,Athletics|Religion|Insight|Perception
02bfc357,Rogue 13,No spells,Sleight of Hand|Stealth|Deception|Persuasion
5a8e441f,Monk 13,No spells,Acrobatics|Stealth|Religion|Insight|Performance|Persuasion
ad7164ec,Barbarian 12,No spells,Athletics|Perception|Survival|Intimidation
0fca0598,Artificer 12,Mending*0|Guidance*0|Light*0|Heroism*1|Shield*1|Feather Fall*1|Cure Wounds*1|Catapult*1|Alarm*1|Disguise Self*1|Detect Magic*1|Expeditious Retreat*1|Fairie Fire*1|False Life*1|Grease*1|Identify*1|Jump*1|Longstrider*1|Purify Food And Water*1|Sanctuary*1|Snare*1|Tasha's Caustic Brew*1|Absorb Elements*1|Branding Smite*2|Blur*2|Levitate*2|Alter Self*2|Rope Trick*2|Warding Bond*2|Vortex Warp*2|Aid*2|Arcane Lock*2|Continual Flame*2|Darkvision*2|Enhance Ability*2|Enlarge/Reduce*2|Heat Metal*2|Invisibility*2|Kinetic Jaunt*2|Lesser Restoration*2|Magic Mouth*2|Magic Weapon*2|Protection From Poison*2|Pyrotechnics*2|See Invisibility*2|Skywrite*2|Spider Climb*2|Web*2|Aura of Vitality*3|Conjure Barrage*3|Haste*3|Blink*3|Fly*3|Water Breathing *3|Dispel Magic*3|Intellect Fortress*3|Glyph of Warding *3|Water Walk*3|Tiny Servant*3|Revivify*3|Protection From Energy*3|Flame Arrows*3|Elemental Weapon*3|Create Food And Water*3|Catnap*3|Ashardalon's Stride*3,Sleight of Hand|Investigation|Nature|Deception
c3a6d101,Sorcerer 12,No spells,Arcana|Insight|Perception|Persuasion
2b39a856,Warlock 12,Spare the Dying*0,History|Investigation|Perception|Deception
84b9ebe8,Warlock 12,Eldritch Blast*0|Hideous Blow*0|Mage Hand*0|Friends*0|Minor Illusion*0|Sword Burst*0|Spare The Dying*0|Move Earth*0|Charm Person*1|Hex*1|Tensors Floating Disc R*1|Unseen Servant R*1|Purify Food And Drink R*1|Identify R*1|Find Familiar R*1|Detect Magic R*1|Comprehend Language R*1|Blur*2|Invisibility*2|Misty Step*2|Suggestion*2|Silence R*2|Blink*3|Water Breathing R*3|Leomunds Tiny Hut R*3|Banishment*4|Charm Monster*4|Dimension Door*4|Far Step*5|Rary Telepathic Bond R*5,Athletics|Stealth|Perception|Deception|Intimidation|Persuasion
b07473f3,Cleric 12,Guidance*0|Sacred Flame*0|Thaumaturgy*0|Toll The Dead*0|Word Of Radiance*0|Identify (Forge)*1|Searing Smite (Forge)*1|Bless*1|Healing Word*1|Guiding Bolt*1|Sanctuary*1|Shield Of Faith*1|Heat Metal (Forge)*2|Magic Weapon (Forge)*2|Aid*2|Augury*2|Enhance Ability*2|Continual Flame*2|Spiritual Weapon*2|Elemental Weapon (Forge)*3|Protection from Energy (Forge)*3|Aura Of Vitality*3|Dispel Magic*3|Revivify*3|Spirit Guardians*3|Fabricate (Forge)*4|Wall of Fire (Forge)*4|Banishment*4|Animate Objects (Forge)*5|Creation (Forge)*5|Greater Restoration*5|Heal*6,History|Religion|Insight|Medicine|Persuasion
ac8aeb45,Barbarian 12,No spells,Athletics|Investigation|Nature|Animal Handling|Perception|Survival|Intimidation
73796ca5,Fighter 12,"Eldritch Blast*0|Chill Touch*0|Hex(1/day)*1|Detect Magic (At Will, Hags Eye)*1|See Ethereal ( At Will, Hags Eye*1|Misty Step (2 Toes Left)*1|Stone Shape ( 1 Walnut)*1|Detect Evil And Good( Armor Of Celestials*1|Disguise Self( Hags Eye)*1",Athletics|Stealth|Insight|Perception|Deception
139d39d9,Wizard 12,Shocking Grasp*0|Mage Hand*0|Chill Touch*0|Ray Of Sickness *1|Detect Magic*1|Shield*1|Mage Armor*1|Unseen Servant *1|Locate Object*2|Ray Of Enfeeblement *2|Fireball*3|Lightning Bolt*3|Blink*3|Blight*4|Dimension Door*4|Fire Shield *4|Scrying *5|Teleportation Circle *5|True Seeing *6,Arcana|History|Investigation|Insight|Medicine|Deception
ca66ff44,Barbarian 12,No spells,Athletics|Stealth|Nature|Animal Handling|Perception|Survival|Intimidation
7faecead,Fighter 12,No spells,Athletics|Acrobatics|Stealth|Insight|Perception
029ecd81,Rogue 12,No spells,Athletics|Acrobatics|Sleight of Hand|Stealth|Investigation|Perception
70773f5c,Fighter 12,No spells,Athletics|Animal Handling|Perception|Survival
ec7dbd3f,Cleric 12,+ Guidance*0|Spare the Dying*0|Mending*0|Toll the Dead (3d8/12) wis*0|Thaumaturgy*0|+ Bless*1|Cure Wounds (1d8+8)*1|Command wis*1|Detect Magic*1|Guiding Bolt (4d6)*1|Healing Word (1d4+8)*1|Sanctuary*1|Lesser Restoration*2|Spiritual Weapon*2|Blind/Deaf con*2|+ Enhance Ability*2|+ Hold Person wis*2|Warding Bond*2|Zone of Truth cha*2|Prayer of Healing (2d8+9)*2|Aid*2|Beacon of Hope*3|Revivify*3|+ Aura of Vitality (2d6+5)*3|Dispel Magic*3|Life Transference*3|Mass H. Word 6(1d4+10)*3|Remove Curse*3|Speak w/ Dead*3|+ Spirit Guard (3d8) wis*3|Glyph of Warding*3|Prot from Energy*3|Death Ward*4|Guardian of Faith*4|+ Banishment cha*4|Freedom of Move*4|Aura of Life*4|Mass Cure 6(3d8+12)*5|Raise Dead*5|Commune /r*5|Flame Strike (8d6) dex*5|Greater Restore*5|+Dawn (4d10)con*5|Holy Weapon*5|Harm (14d6) con*6|Sunbeam (6d8) con*6|True seeing*6|Hero's Feast*6,Religion|Insight|Medicine|Persuasion
59f2b4f0,Bard 12,No spells,Acrobatics|Arcana|History|Animal Handling|Performance
36fbaa84,Monk 12,No spells,Athletics|Acrobatics|Sleight of Hand|Stealth|Perception
52754784,Warlock 12,Sword Burst*0|Mage Hand*0|Chill Touch*0|Prestidigitation*0|11*1|Hex*1|Armor Of Agathys*1|Comprehend Languages*1|Darkness*2|Invisibility*2|Fly*3|Tongues*3|Sickening Radiance*4|6 T Otherworldly Guise*5|Banishing Smite*5,Stealth|History|Nature|Religion|Perception|Survival
4da89009,Rogue 12,No spells,Sleight of Hand|Stealth|Animal Handling|Survival|Deception|Performance
5a3b7bdb,Monk 12,No spells,Athletics|Acrobatics|Religion|Medicine
17a59edc,Warlock 12,Chill Touch*0|Frostbite*0|Mage Hand*0|Sword Burst*0|Armor Of Agathys*1|Arms Of Hadar*1|Misty Step*2|Blur*2|Blink*3|Spirit Shroud*3|Dimension Door*4|Blight*4|Far Step*5|Cone Of Cold*5,Athletics|Acrobatics|Perception|Deception|Intimidation|Persuasion
643d639d,Fighter 12,No spells,Athletics|Acrobatics|Survival|Intimidation
7c56fcb9,Blood-Hunter 12,No spells,Arcana|Investigation|Religion|Insight|Perception|Survival
b177c069,Fighter 12,No spells,Athletics|Acrobatics|Perception|Intimidation|Persuasion
45955c99,Barbarian 12,Speak with Animals (Ritual)*0|Beast Sense (Ritual)*0,Athletics|Animal Handling|Survival|Intimidation
b18a65fd,Druid 12,Gift versprühen*0|Frostbiss*0|Urtümliche Wildheit*0|Wunden heilen*1|Mit Tieren sprechen*1|Verstricken*1|Magie entdecken*1|Schwache Genesung*2|Person festhalten*2|Rindenhaut*2|Heilender Geist*2|Magie bannen*3|Erdvulkan*3|Waldwesen beschwören*4|Verwandlung*4|Massen Wunden heilen*5|Elementar beschwören*5|Vollständige Genesung*5|Pflanzentor*6|Weg finden*6,Nature|Religion|Animal Handling|Medicine|Perception
609e1f5f,Artificer 12,Magic Missile*1|Thunderwave*1|Mirror Image*2|Shatter*2|Hypnotic Pattern*3|Lightning Bolt*3|*NA|Catapult*1|Cure Wounds*1|Detect Magic*1|Disguise Self*1|Expeditious Retreat*1|Faerie Fire*1|False Life*1|Feather Fall*1|Grease*1|Identify*1|Longstrider*1|Purify Food And Drink*1|Sanctuary*1|Snare*1|Jump*1|Tasha's Caustic Brew*1|Branding Smite*2|Warding Bond*2|Aid*2|Alter Self*2|Arcane Lock*2|Blur*2|Continual Flame*2|Darkvision*2|Enhance Ability*2|Enlarge/reduce*2|Heat Metal*2|Invisibility*2|Lesser Restoration*2|Levitate*2|Magic Mouth*2|Magic Weapon*2|Protection From Poison*2|Pyrotechnics*2|Rope Trick*2|See Invisibility*2|Skywrite*2|Spider Climb*2|Web*2|Detect Thoughts*2|Aura of Vitality*3|Conjure Barrage*3|Blink*3|Catnap*3|Create Food And Water*3|Dispel Magic*3|Elemental Weapon*3|Flame Arrows*3|Fly*3|Glyph Of Warding*3|Haste*3|Intellect Fortress*3|Protection From Energy*3|Revivify*3|Tiny Servant*3|Water Breathing*3|Water Walk*3,Stealth|Arcana|Investigation|Deception
65808570,Druid 12,No spells,Athletics|Nature|Animal Handling|Perception|Survival
ceea66f0,Wizard 12,No spells,Arcana|Investigation|Religion|Medicine|Perception|Intimidation
4d9173b6,Fighter 12,No spells,Athletics|Animal Handling|Insight|Perception|Intimidation
a228191d,Wizard 12,No spells,Arcana|History|Religion|Insight
269c08db,Bard 12,Message*0|Minor Illusion *0|Vicious Mockery*0|Thunderclap*0|Comprehend Languages*1|Detect Magic *1|Thunderwave*1|Cure Wounds*1|Hold Person*2|Invisibility *2|Knock*2|Dispel Magic *3|Tongues*3|Call Lightning *3|Dimension Door*4|Freedom Of Movement*4|Polymorph*4|Mislead*5|Legend Lore*5|Destructive Wave *5|True Seeing*6,Acrobatics|Stealth|Investigation|Perception|Performance
4255ae87,Sorcerer 12,Frostbite*0|Chill Touch*0|Mage Hand*0|Message*0|Minor Illusion*0|Prestidigitation*0|Eldritch Blast*0|Magic Missile*1|Mage Armor*1|Shield*1|Darkness*2|Dispel Magic*3|Counterspell*3|Haste*3|Dimension Door*4|Greater Invisibility*4|Polymorph*4|Cone Of Cold*5|Globe Of Invulnerability *6|Scatter*6,Sleight of Hand|Stealth|Insight|Deception|Intimidation|Persuasion
22754830,Cleric 12,Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4|Mass Cure Wounds*5|Raise Dead*5,Athletics|Religion|Medicine|Intimidation
96f0fcc3,Wizard 12,34 Spells*0|Prestidigitation*0|Dancing Lights*0|Mage Hand*0|Fire Bolt*0|Minor Illusion*0|Comprehend Languages*1|Chromatic Orb*1|Color Spray*1|Detect Magic*1|Faerie Fire*1|Find Familiar*1|Identify*1|Mage Armor*1|Shield*1|Silent Image*1|Speak With Animals*1|Witch Bolt*1|Hold Person*2|Invisibility *2|Knock*2|Mind Spike*2|Mirror Image*2|Misty Step*2|Phantasmal Force*2|Shadow Blade*2|Silence*2|Suggestion*2|Web*2|Blink*3|Counterspell*3|Fireball*3|Haste*3|Hypnotic Pattern*3|Leomunds Tiny Hut*3|Major Image*3|Phamtom Steed*3|Slow*3|Tongues*3|Water Breathing*3|Water Walk*3|Aura Of Life*4|Blight*4|Dimension Door*4|Fire Shield*4|Greater Invisibility*4|Mordenkainen's Faithful Hound*4|Phantasmal Killer*4|Bigbys Hand*5|Contact Other Plane*5|Enervation*5|Far Step*5|Hold Monster*5|Mislead*5|Modify Memory*5|Rary's Telepathic Bond*5|Synaptic Static*5|Eyebite*6|Globe Of Invulnerability*6|Mental Prison*6|Tenser's Tranformation*6|Soul Cage*6,Arcana|Investigation|Insight|Perception|Persuasion
35cb3ea8,Rogue 12,Mage Hand*0|Booming Blade*0|Minor Illusion*0|Prestidigitation *0|Sleep*1|Disguise Self*1|Charm Person *1|Color Spray *1|Ice Knife*1|Magic Missile*1|Hold Person*2|Phantasmal Force*2,Acrobatics|Sleight of Hand|Stealth|Investigation|Deception|Performance
b330497c,Monk 12,No spells,Athletics|Acrobatics|Stealth|Insight|Perception|Performance
0c688ae0,Cleric 12,Light*0|Spare the Dying*0|toll the dead*0|Word of Radiance *0|Friends*0|charm person*0|Thaumaturgy*0|Sugestion*0|Sacred Flames*0|Burning Hands*1|Healing word*1|guiding bolt*1|faerie fire*1|Cure Wounds*1|Inflict wounds*1|Aid*2|Blindness/Deafness*2|flame sphere *2|scorching ray*2|Spiritual Weapon*2|Lesser Restoration *2|Silence*2|revivify*3|Spirit Gaurdian*3|daylight *3|fireball*3|Beacon Of Hope*3|Mass Healing Word*3|Guardian of Faith*4|Wall of Fire*4|Death ward *4|Flame Strike*5|Greater Restoration *5|Mass Cure Wounds*5|Scrying*5|Heal*6,Sleight of Hand|Stealth|History|Religion|Insight|Medicine
ef527efd,Barbarian 12,No spells,Athletics|History|Perception|Survival
ac29d06f,Warlock 12,Shape Water*0|Eldritch Blast*0|Fire Bolt*0|Sacred Flame*0|Poison Spray*0|Chill Touch*0|Mage Hand*0|Shillelagh*0|Arms Of Hadar*1|Hellish Rebuke*1|Mirror Image *2|Darkness*2|Crown Of Madness*2|Hunger Of Hadar*3|Vampiric Touch*3|Banishment*4|Blight*4|Contact Other Plane*5|Scrying*5|Once/day Circle Of Death*5,Athletics|Arcana|Nature|Perception
cfce4ac7,Sorcerer 12,Darkness*2,Arcana|Animal Handling|Survival|Deception
bacd166a,Warlock 12,No spells,Arcana|History|Investigation|Religion|Perception|Persuasion
ba6dd425,Paladin 12,Armor of Frost*1|Command*1|Hold Person*2|Spiritual Weapon*2|Bestow Curse*3|Fear*3,Athletics|Religion|Insight|Persuasion
6aa1f523,Wizard 12,Toll The Dead*0|Detect Magic*0|Firebolt*0|Light *0|Mage Hand*0|Find Familiar*1|Charm Person*1|Mage Armor*1|Magnify Gravity*1|Web*2|Darkvision*2|Magnify Gravity*2|Lightning Bolt*3|Counterspell*3|Fly*3|Vitriolic Sphere*4|Gravity Sinkhole*4|Polymorph*4|Wall Of Force*5|Cone Of Cold*5|Gravity Fissure*6,Sleight of Hand|Stealth|Arcana|Investigation|Deception
ec0b99ea,Cleric 12,Thaumaturgy*0|Spare The Dying*0|Sacred Flame*0|Minor Illusion*0|Fog Cloud*1|Thunderwave*1|Guiding Bolt*1|Cure Wounds*1|Bane*1|Bless*1|Command*1|Create Or Destroy Water*1|Detect Evil And Good*1|Detect Magic*1|Detect Poison And Disease*1|Healing Word*1|Inflict Wounds*1|Protection From Evil And Good*1|Purify Food And Drink*1|Sanctuary*1|Shield Of Faith*1|Gust of Wind*2|Shatter*2|Aid*2|Augury*2|Blindness/Deafness*2|Calm Emotions*2|Continual Flame*2|Enhance Ability*2|Find Traps*2|Gentle Repose*2|Hold Person*2|Lesser Restoration*2|Locate Object*2|Prayer Of Healing*2|Protection From Poison*2|Silence*2|Spiritual Weapon*2|Warding Bond*2|Zone Of Truth*2|Call Lightning*3|Sleet Storm*3|Animate Dead*3|Beacon Of Hope*3|Bestow Curse*3|Clairvoyance*3|Create Food And Water*3|Daylight*3|Dispel Magic*3|Glyph Of Warding*3|Magic Circle*3|Mass Healing Word*3|Meld Into Stone*3|Protection From Energy*3|Remove Curse*3|Revivify*3|Sending*3|Speak With Dead*3|Spirit Guardians*3|Tongues*3|Water Walk*3|Control Water*4|Ice Storm*4|Banishment*4|Death Ward*4|Divination*4|Freedom Of Movement*4|Guardian Of Faith*4|Locate Creature*4|Stoneshape*4|Destructive Wave*5|Insect Plague*5|Commune*5|Contagion*5|Dispel Evil And Good*5|Flamestrike*5|Geas*5|Greater Restoration*5|Hallow*5|Legend Lore*5|Mass Cure Wounds*5|Planar Binding*5|Raise Dead*5|Scrying*5|Blade Barrier*6|Create Undead*6|Find The Path*6|Forbiddance*6|Harm*6|Heal*6|Heroes' Feast*6|Planar Ally*6|True Seeing*6|Word Of Recall*6,Insight|Medicine|Perception
28512ea1,Ranger 12,No spells,Athletics|Stealth|Investigation|Nature|Perception|Survival
2928a3e4,Rogue 12,No spells,Athletics|Stealth|Perception|Deception|Intimidation|Persuasion
fd2025b7,Fighter 12,No spells,Athletics|Animal Handling|Insight|Perception|Intimidation
